# Artefact digests. Written by scripts/artefact_digests.py; described by
# docs/80-artefact-digests.md. DO NOT EDIT BY HAND.
#
# Every path below is git-ignored on purpose -- .gitignore lines 4, 40,
# 74, 118 and 136. This file pins their IDENTITY so that the evidence
# behind docs/71, docs/74, docs/75, docs/77 and docs/79 cannot be
# silently swapped. It does NOT make the artefacts available and it does
# NOT establish that any of them is correct.
#
# 329 artefacts, 0 bytes to 1.718 GB, 5.163 GB in total.
#
# sha256 is over the file's bytes. `metrics` is `k=v;k=v`, read out of the
# artefact by this script's own extractors, and is a legibility aid, not a
# check -- the digest is the check.
#
#   scripts/artefact_digests.py --check    re-verify. MISSING is not FAILED
#   scripts/artefact_digests.py --write    rebuild on a machine that has the runs

group	cites	role	path	bytes	sha256	metrics
pilot-submission-superseded	31,34	netlist	hw/openlane/pilot_ihp/runs/submission-6x2/final/pnl/tt_um_melihakbulut_nssoc.pnl.v	3513932	39470ad135125f6b80abaf487877ef81d442ee8dd567bde5ea89ec42995ee73e	lines=118972;cells=33564;flops=1296
pilot-submission-superseded	31,34	def	hw/openlane/pilot_ihp/runs/submission-6x2/final/def/tt_um_melihakbulut_nssoc.def	13960592	8f99c979c513ab5d9dd2ebb5e72bbf77d28180ac2d7165772664dfe09586fcf4	units_per_um=1000;diearea=(00)(1289280313740);components=33564
pilot-submission-superseded	31,34	gds	hw/openlane/pilot_ihp/runs/submission-6x2/final/gds/tt_um_melihakbulut_nssoc.gds	20760838	664326bf142635dd14f2b369b9cc8a935123f859f3100886da0f226e220a9372	
pilot-submission-superseded	31,34	metrics	hw/openlane/pilot_ihp/runs/submission-6x2/final/metrics.json	10048	39a17f64239eebc14a52a86a5a75c23d8f01e85d514525aabc4c58d91b6d998a	keys=194;die_um2=404499;insts=33564;stdcells=12546;flops=1296;stdcell_um2=191588;util=0.487516;setup_ws_slow=1.226180081066267;setup_ws_typ=8.103343114768531;setup_ws_fast=12.137398096789024;setup_tns_slow=0;setup_vio_slow=0;hold_ws_slow=0.6040953464001406;hold_ws_typ=0.2829435654746831;hold_ws_fast=0.102949152117101;setup_bufs=20;hold_bufs=0;wirelength=472381;drc=0;slew_vio_slow=0;cap_vio_slow=0;antenna_nets=0
pilot-submission-superseded	31,34	config	hw/openlane/pilot_ihp/runs/submission-6x2/resolved.json	22715	0b73090bf441af7a92e17ea03313631b79f9eef567eee5211418e1a3907c1c5e	keys=411
pilot-shape6x2	26,27	netlist	hw/openlane/pilot_ihp/runs/shape-6x2/final/nl/tt_um_melihakbulut_nssoc.nl.v	2570202	2b2000b113c7d35a8a10c87ad3dc7cc8d6cea8bb4047b1b2f3d902006c83d3f8	lines=72903;cells=33801;flops=1275
pilot-shape6x2	26,27	def	hw/openlane/pilot_ihp/runs/shape-6x2/final/def/tt_um_melihakbulut_nssoc.def	13993680	868b0547e9d8ae01b211cd7c7de8da7947831098879bd9020fb02f43349800e4	units_per_um=1000;diearea=(00)(1289280313740);components=33801
pilot-shape6x2	26,27	gds	hw/openlane/pilot_ihp/runs/shape-6x2/final/gds/tt_um_melihakbulut_nssoc.gds	20773992	40cab6aa1ded3d7edcb21b626539ff3a571591ddc8523255d4e9a1eb50555c33	
pilot-shape6x2	26,27	metrics	hw/openlane/pilot_ihp/runs/shape-6x2/final/metrics.json	9933	86a97b206ce8df0e84c5baa81b48108ee96d5f88d05b22512ec5d79de2305edd	keys=192;die_um2=404499;insts=33801;stdcells=12418;flops=1275;stdcell_um2=185840;util=0.472889;setup_ws_slow=1.2347119232072035;setup_ws_typ=8.129683822906545;setup_ws_fast=12.132872827612669;setup_tns_slow=0;setup_vio_slow=0;hold_ws_slow=0.6038644200044875;hold_ws_typ=0.2907364986606824;hold_ws_fast=0.10887202558753281;setup_bufs=0;hold_bufs=1406;wirelength=469914;drc=0;slew_vio_slow=0;cap_vio_slow=0;antenna_nets=0
pilot-shape6x2	26,27	config	hw/openlane/pilot_ihp/runs/shape-6x2/resolved.json	22706	5102e3e4c36b3196b1243766b95fac763aea939ba4d7b256609adbbdd3bae478	keys=411
soc-s70boot2	70,71	netlist	hw/soc/pnr/runs/s70boot2/final/nl/soc_top.nl.v	10831575	c261069c1eaec0db24cefc1d5dba9dce447f0e075479e57311c1b19a7b5d9272	lines=363429;cells=176663;flops=5873;macros=6
soc-s70boot2	70,71	def	hw/soc/pnr/runs/s70boot2/final/def/soc_top.def	72036030	60da171a34d3520715bbc716f92b8fd98f53e6e6681c09e46d383765cc1d2646	units_per_um=1000;diearea=(00)(23064002075220);components=176663
soc-s70boot2	70,71	gds	hw/soc/pnr/runs/s70boot2/final/gds/soc_top.gds	107586140	b97e3d5e45a02a513c916c35522d0136d0e84bae38ca9ab36d654d7d7dcd44fc	
soc-s70boot2	70,71	metrics	hw/soc/pnr/runs/s70boot2/final/metrics.json	10400	f1fc4d9388f6fc3245458542a7e08636c9f8240576f8d14c97d5fab8e45b6f5b	keys=199;die_um2=4786290;insts=176663;stdcells=60868;flops=5873;clkgates=1;stdcell_um2=876321;util=0.719817;setup_ws_slow=-9.108500878019903;setup_ws_typ=1.7819666246965344;setup_ws_fast=8.052679639919136;setup_tns_slow=-19989.815538437644;setup_vio_slow=3361;hold_ws_slow=0.5896578947572936;hold_ws_typ=0.273524433067372;hold_ws_fast=0.062133189241183634;setup_bufs=102;hold_bufs=4;wirelength=4248250;drc=0;slew_vio_slow=47;cap_vio_slow=16;antenna_nets=1
soc-s70boot2	70,71	config	hw/soc/pnr/runs/s70boot2/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s71boot	71,74,75,79	netlist	hw/soc/pnr/runs/s71boot/final/nl/soc_top.nl.v	10831575	c261069c1eaec0db24cefc1d5dba9dce447f0e075479e57311c1b19a7b5d9272	lines=363429;cells=176663;flops=5873;macros=6
soc-s71boot	71,74,75,79	def	hw/soc/pnr/runs/s71boot/final/def/soc_top.def	72036030	60da171a34d3520715bbc716f92b8fd98f53e6e6681c09e46d383765cc1d2646	units_per_um=1000;diearea=(00)(23064002075220);components=176663
soc-s71boot	71,74,75,79	gds	hw/soc/pnr/runs/s71boot/final/gds/soc_top.gds	107586140	05b133cfbe87ca51a22fc3fbd3e32ef9f1aeddd1e66df08af18a2212d2604b19	
soc-s71boot	71,74,75,79	metrics	hw/soc/pnr/runs/s71boot/final/metrics.json	10400	f1fc4d9388f6fc3245458542a7e08636c9f8240576f8d14c97d5fab8e45b6f5b	keys=199;die_um2=4786290;insts=176663;stdcells=60868;flops=5873;clkgates=1;stdcell_um2=876321;util=0.719817;setup_ws_slow=-9.108500878019903;setup_ws_typ=1.7819666246965344;setup_ws_fast=8.052679639919136;setup_tns_slow=-19989.815538437644;setup_vio_slow=3361;hold_ws_slow=0.5896578947572936;hold_ws_typ=0.273524433067372;hold_ws_fast=0.062133189241183634;setup_bufs=102;hold_bufs=4;wirelength=4248250;drc=0;slew_vio_slow=47;cap_vio_slow=16;antenna_nets=1
soc-s71boot	71,74,75,79	config	hw/soc/pnr/runs/s71boot/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s75w9	75,79	netlist	hw/soc/pnr/runs/s75w9/final/nl/soc_top.nl.v	10904011	8ed2497f51e138d123c28380e2266eb305fc4c0279a43ec1f09a82f764303d35	lines=367180;cells=176746;flops=5874;macros=6
soc-s75w9	75,79	def	hw/soc/pnr/runs/s75w9/final/def/soc_top.def	72794753	4c27426bf58f613907099f3b6bd097a4d9e0e1039898be99e1168f237f9a2876	units_per_um=1000;diearea=(00)(23064002075220);components=176746
soc-s75w9	75,79	gds	hw/soc/pnr/runs/s75w9/final/gds/soc_top.gds	108587456	ff0b3cb10e485eb192ca4bf9e0f46dc931bb46562cf24cbcc119a583920890d1	
soc-s75w9	75,79	metrics	hw/soc/pnr/runs/s75w9/final/metrics.json	10073	8acba8eb2dd5ac124b6c168b376cd93c4838243618d4e91b870bc091824a7ecd	keys=191;die_um2=4786290;insts=176746;stdcells=62112;flops=5874;clkgates=1;stdcell_um2=888851;util=0.722705;setup_ws_slow=-6.9980414555068675;setup_ws_typ=3.03940348159289;setup_ws_fast=8.877259179018916;setup_tns_slow=-8658.87456644402;setup_vio_slow=3088;hold_ws_slow=0.45115557011674773;hold_ws_typ=0.23140312543333394;hold_ws_fast=0.06208833622972025;setup_bufs=345;hold_bufs=1;wirelength=4346366;drc=0;slew_vio_slow=82;cap_vio_slow=17;antenna_nets=0
soc-s75w9	75,79	config	hw/soc/pnr/runs/s75w9/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s76gate	76,77	netlist	hw/soc/pnr/runs/s76gate/final/nl/soc_top.nl.v	10854880	89e9276fc77e4918c4683b553128cafdf47e70ba699c73f06f85afbe7f04d7dc	lines=366127;cells=175970;flops=5871;macros=6
soc-s76gate	76,77	def	hw/soc/pnr/runs/s76gate/final/def/soc_top.def	73129340	daf4ca482b218daa468458f8f1e84aae0a5d543842fe66eb451ba97f044917b7	units_per_um=1000;diearea=(00)(23064002075220);components=175970
soc-s76gate	76,77	gds	hw/soc/pnr/runs/s76gate/final/gds/soc_top.gds	109084598	9c2811ee1a2aed8b4ed5bdb1dd066833c5de820f118f2ee58e6e94fb5aa5e7a8	
soc-s76gate	76,77	metrics	hw/soc/pnr/runs/s76gate/final/metrics.json	10396	208b296ca5d1889f4f92f26a08f9706a6886ccd277863db15209bee7ce4dbc60	keys=199;die_um2=4786290;insts=175970;stdcells=62036;flops=5871;clkgates=3;stdcell_um2=900851;util=0.72547;setup_ws_slow=-6.350530947523198;setup_ws_typ=3.237659121331726;setup_ws_fast=9.022324476232845;setup_tns_slow=-11454.974224950509;setup_vio_slow=3131;hold_ws_slow=0.3699571864682905;hold_ws_typ=0.15596302468725293;hold_ws_fast=0.0013317125557012785;setup_bufs=487;hold_bufs=53;wirelength=4573457;drc=0;slew_vio_slow=91;cap_vio_slow=28;antenna_nets=1
soc-s76gate	76,77	config	hw/soc/pnr/runs/s76gate/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s77base	77	netlist	hw/soc/pnr/runs/s77base/final/nl/soc_top.nl.v	10854880	89e9276fc77e4918c4683b553128cafdf47e70ba699c73f06f85afbe7f04d7dc	lines=366127;cells=175970;flops=5871;macros=6
soc-s77base	77	def	hw/soc/pnr/runs/s77base/final/def/soc_top.def	73129340	daf4ca482b218daa468458f8f1e84aae0a5d543842fe66eb451ba97f044917b7	units_per_um=1000;diearea=(00)(23064002075220);components=175970
soc-s77base	77	gds	hw/soc/pnr/runs/s77base/final/gds/soc_top.gds	109084598	0ebc83e492af400e88f5427e80ae55cddbe60b7c434ac8978743227fab375834	
soc-s77base	77	metrics	hw/soc/pnr/runs/s77base/final/metrics.json	10396	208b296ca5d1889f4f92f26a08f9706a6886ccd277863db15209bee7ce4dbc60	keys=199;die_um2=4786290;insts=175970;stdcells=62036;flops=5871;clkgates=3;stdcell_um2=900851;util=0.72547;setup_ws_slow=-6.350530947523198;setup_ws_typ=3.237659121331726;setup_ws_fast=9.022324476232845;setup_tns_slow=-11454.974224950509;setup_vio_slow=3131;hold_ws_slow=0.3699571864682905;hold_ws_typ=0.15596302468725293;hold_ws_fast=0.0013317125557012785;setup_bufs=487;hold_bufs=53;wirelength=4573457;drc=0;slew_vio_slow=91;cap_vio_slow=28;antenna_nets=1
soc-s77base	77	config	hw/soc/pnr/runs/s77base/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s77gate	77	netlist	hw/soc/pnr/runs/s77gate/final/nl/soc_top.nl.v	10898168	50515ae4b1194716c1a347451e0611321d0c6af7752d07a12e16e3f4c7a08e2a	lines=367997;cells=176447;flops=5872;macros=6
soc-s77gate	77	def	hw/soc/pnr/runs/s77gate/final/def/soc_top.def	73358492	89055deeef703b4b58ebc24699fe151fe696c3508a46b02ef14594a1664a4f68	units_per_um=1000;diearea=(00)(23064002075220);components=176447
soc-s77gate	77	gds	hw/soc/pnr/runs/s77gate/final/gds/soc_top.gds	109410362	3ffbaffed823e6032242639fefd3175e47b34901cd2e75cc263f3e2b32a54206	
soc-s77gate	77	metrics	hw/soc/pnr/runs/s77gate/final/metrics.json	10286	09cdb61aa78a5c2cbf4ab7319ae4aca8d35d23b8b449f7a261034af0025826f1	keys=196;die_um2=4786290;insts=176447;stdcells=62246;flops=5872;clkgates=3;stdcell_um2=900314;util=0.725347;setup_ws_slow=-4.679915254453688;setup_ws_typ=4.315335766424168;setup_ws_fast=9.557910289314137;setup_tns_slow=-8267.180653164209;setup_vio_slow=3088;hold_ws_slow=0.5842009263923225;hold_ws_typ=0.27408354139838587;hold_ws_fast=0.09690282184283927;setup_bufs=364;hold_bufs=20;wirelength=4457105;drc=0;slew_vio_slow=67;cap_vio_slow=33;antenna_nets=0
soc-s77gate	77	config	hw/soc/pnr/runs/s77gate/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-synth	71,74,75,77	netlist	hw/soc/out/s69-rom0-syn/soc_top.netlist.v	5999961	6294cdd8d2ded405d75813fd6143dac8b91dcefa0dacdec1075f9aead230369f	lines=295464;cells=45546;flops=5873;macros=6
soc-synth	71,74,75,77	report	hw/soc/out/s69-rom0-syn/area.rpt	2146	75d9fbe097bb638aaa77ae50b3ea9f9e2e28ab684aef50bfc39c77ddb57326e9	lines=64
soc-synth	71,74,75,77	netlist	hw/soc/out/s70-rom0-syn/soc_top.netlist.v	5999961	6294cdd8d2ded405d75813fd6143dac8b91dcefa0dacdec1075f9aead230369f	lines=295464;cells=45546;flops=5873;macros=6
soc-synth	71,74,75,77	report	hw/soc/out/s70-rom0-syn/area.rpt	2146	75d9fbe097bb638aaa77ae50b3ea9f9e2e28ab684aef50bfc39c77ddb57326e9	lines=64
soc-synth	71,74,75,77	netlist	hw/soc/out/s75-rom0-syn/soc_top.netlist.v	6076372	ed71de19814ff3092005cf1df42a346bf7eea153b372c181866076e9b979da97	lines=300028;cells=46286;flops=5874;macros=6
soc-synth	71,74,75,77	report	hw/soc/out/s75-rom0-syn/area.rpt	2148	90a34467db36b325a4059b8d371b3d56c7c22085771633f1900bdc31d442f10c	lines=64
soc-synth	71,74,75,77	netlist	hw/soc/out/s76-rom0-gate/soc_top.netlist.v	6033919	500d98a01545442171509e3932e09b94f365c5552e3cbabece16189f3162ae97	lines=297457;cells=45763;flops=5871;macros=6
soc-synth	71,74,75,77	report	hw/soc/out/s76-rom0-gate/area.rpt	2183	51f1c0cfb8a3daa9722c2abec57b089f4c85c70a01bda8d9e699589856e23fd7	lines=65
soc-synth	71,74,75,77	netlist	hw/soc/out/s77-rom0-gate/soc_top.netlist.v	6090500	3d4d63526953abf40ad3bbeb9b0be0c781cd366045f7ec0ae2c5c4e5316f7909	lines=300748;cells=46261;flops=5872;macros=6
soc-synth	71,74,75,77	report	hw/soc/out/s77-rom0-gate/area.rpt	2114	12ab3854974aa8cec495eaeb33c23e06190c5396c93129faf52a635ac86ede95	lines=63
fi-rtl	42,44,74,75	records	hw/soc/out/fi-h1/records.csv	252158	69bca1365394387cffce19b19309a26881aa73ae409c0656a84b53ac49003356	rows=1400;cols=27;corrected=190;detected=149;masked=1025;sdc=36
fi-rtl	42,44,74,75	text	hw/soc/out/fi-h1/fi_targets.txt	1287	f2f3dc43f3e1593ac1b024b6649cc49cfeb2d1946ecfeb5dc0f2b6d1faa238cf	lines=15
fi-rtl	42,44,74,75	text	hw/soc/out/fi-h1/fi_coverage.txt	459	367b8613265c65404dc5cb865289733a0dc6c0d78331f5cb693f4ec97cb07445	lines=14
fi-rtl	42,44,74,75	records	hw/soc/out/fi-h74rtl/directed.csv	97476	40395de13a4e4c9addfeb8b6b145f86e50f28b52bf5949ab87407d1e87715a33	rows=1400;cols=15;corrected=190;detected=149;masked=1025;sdc=36
fi-rtl	42,44,74,75	log	hw/soc/out/fi-h74rtl/golden_rtl.log	1050	db007aec8a8b7b59b76184906446618349e9f46ce47fec3a52496acc45aff517	lines=20
fi-rtl	42,44,74,75	text	hw/soc/out/fi-h74rtl/fi_targets.txt	1287	f2f3dc43f3e1593ac1b024b6649cc49cfeb2d1946ecfeb5dc0f2b6d1faa238cf	lines=15
fi-rtl	42,44,74,75	log	hw/soc/out/fi-h75rtl/golden_rtl.log	1050	db007aec8a8b7b59b76184906446618349e9f46ce47fec3a52496acc45aff517	lines=20
fi-rtl	42,44,74,75	text	hw/soc/out/fi-h75rtl/fi_targets.txt	1287	f2f3dc43f3e1593ac1b024b6649cc49cfeb2d1946ecfeb5dc0f2b6d1faa238cf	lines=15
gl-74	74	map	hw/soc/out/gl74/map.json	161760876	c03371bb85e512c76e214852bf387611cabf1eed67977eebe292325e21ba2973	cycles=18681;rtl_rows=18683;gl_rows=18682;gl_row_shift=-1;rtl_bits=2451;gl_flops=5873
gl-74	74	map	hw/soc/out/gl74/map.txt	10902	de2a61a156087102c0017016a9a82efdd7528c7ab26bb5ceccf4a02ac2678fb4	lines=147
gl-74	74	text	hw/soc/out/gl74/census_by_name.txt	10606	f77866d47dc0dd481722504bd9cae9a0b1c63db0a5a1f131ca644636a5152a06	lines=164;flops_parsed=5873
gl-74	74	records	hw/soc/out/gl74/instants.csv	125497	49ab3dfe28ccc0c0e38ed4d8a5b61a82d48fe535fd7e898ff6963645ee31e346	rows=1400;cols=7
gl-74	74	table	hw/soc/out/gl74/flops.tsv	682777	2cf6cd31a1452b73aa4b485dc268ee3a5aedda596d567d373ee78aafbf1ce759	lines=5874
gl-74	74	provenance	hw/soc/out/gl74/provenance.txt	829	e3644b6ff16e653091797e7cfbb3355106df9c8b00445bd95c00fc264c720e67	netlist_md5=2e43d08ff422be8ce7a0efd17b1cc3da;netlist_size=10831575;rom_hex_md5=476ca762b29af6c2b446c40c7aed9643;flops=5873
gl-74	74	records	hw/soc/out/gl74b/records_gl.csv	322465	5266de0e6e217f7d693a778cc19cbfdb19e17efc87fb2ab04045fa59377fee76	rows=1175;cols=36
gl-74	74	text	hw/soc/out/gl74b/reconcile.txt	11461	1bb4bff450b6e5bee059e5505f47290ecdd4f68bf941df907d392fd14984491e	lines=152
gl-74	74	table	hw/soc/out/gl74b/flops.tsv	682777	2cf6cd31a1452b73aa4b485dc268ee3a5aedda596d567d373ee78aafbf1ce759	lines=5874
gl-74	74	provenance	hw/soc/out/gl74b/provenance.txt	829	e3644b6ff16e653091797e7cfbb3355106df9c8b00445bd95c00fc264c720e67	netlist_md5=2e43d08ff422be8ce7a0efd17b1cc3da;netlist_size=10831575;rom_hex_md5=476ca762b29af6c2b446c40c7aed9643;flops=5873
gl-74	74	records	hw/soc/out/gl74c/records_gl_sweep.csv	10699	b94785e5b418eb2f8620e8e9299a113811fb48ed2dd782df289c8999fd29ea0e	rows=75;cols=16;detected=5;hang=16;masked=44;sdc=10
gl-74	74	provenance	hw/soc/out/gl74c/provenance.txt	829	e3644b6ff16e653091797e7cfbb3355106df9c8b00445bd95c00fc264c720e67	netlist_md5=2e43d08ff422be8ce7a0efd17b1cc3da;netlist_size=10831575;rom_hex_md5=476ca762b29af6c2b446c40c7aed9643;flops=5873
gl-74	74	records	hw/soc/out/gl74e/records_rf_only.csv	39270	71b3f4dfedea2e957f65d8d51602894ba0de19b7290899909a27cb6f73ee6b5f	rows=200;cols=27;corrected=190;masked=10
gl-74	74	records	hw/soc/out/gl74e/records_gl_rf.csv	60223	0368c5ab55109853d5902a95b5b0416c6d6236e6d5f3fed1b1139316e39c9f87	rows=180;cols=36
gl-74	74	provenance	hw/soc/out/gl74e/provenance.txt	829	e3644b6ff16e653091797e7cfbb3355106df9c8b00445bd95c00fc264c720e67	netlist_md5=2e43d08ff422be8ce7a0efd17b1cc3da;netlist_size=10831575;rom_hex_md5=476ca762b29af6c2b446c40c7aed9643;flops=5873
gl-74	74	records	hw/soc/out/gl74s/records_gl_wdog.csv	19365	43d58547fe340c8a6b2f5a21d46f121f6ad114d0c09db4cd976416d612ca8d13	rows=174;cols=17;corrected=174
gl-74	74	provenance	hw/soc/out/gl74s/provenance.txt	829	e3644b6ff16e653091797e7cfbb3355106df9c8b00445bd95c00fc264c720e67	netlist_md5=2e43d08ff422be8ce7a0efd17b1cc3da;netlist_size=10831575;rom_hex_md5=476ca762b29af6c2b446c40c7aed9643;flops=5873
